Sum of d1(%),Column Labels,,,,
Row Labels,1,2,3,Grand Total,
08/24/2015,64,63,64,191,#VALUE!
08/25/2015,61,66,59,186,#VALUE!
08/26/2015,60,59,60,179,#VALUE!
08/27/2015,61,62,64,187,#VALUE!
08/28/2015,54,59,58,171,#VALUE!
08/29/2015,64,64,62,190,#VALUE!
08/30/2015,60,62,60,182,#VALUE!
08/31/2015,58,59,59,176,#VALUE!
09/13/2015,53,52,55,160,#VALUE!
09/14/2015,60,62,60,182,#VALUE!
09/15/2015,63,61,60,184,#VALUE!
09/16/2015,50,52,49,151,#VALUE!
09/01/2015,57,60,59,176,#VALUE!
09/02/2015,58,64,59,181,31
09/03/2015,63,61,63,187,28
09/04/2015,60,66,61,187,31
09/05/2015,63,65,61,189,30
09/06/2015,58,60,58,176,31
09/07/2015,65,65,66,196,30
09/08/2015,64,64,64,192,31
09/09/2015,60,59,61,180,31
09/10/2015,60,63,63,186,30
09/11/2015,55,61,56,172,31
09/12/2015,58,66,60,184,30
Grand Total,1429,1475,1441,4345,
,,,,,
,60,62,60,,
,59.54,61.45833333,60.04166667,,
Sum of d1(%),d1,,,,
Row Labels,1,2,3,,
08/24/2015,64,63,64,,
08/25/2015,61,66,59,,
08/26/2015,60,59,60,,
08/27/2015,61,62,64,,
08/28/2015,54,59,58,,
08/29/2015,64,64,62,,
08/30/2015,60,62,60,,
08/31/2015,58,59,59,,
09/01/2015,57,60,59,,
09/02/2015,58,64,59,,
09/03/2015,63,61,63,,
09/04/2015,60,66,61,,
09/05/2015,63,65,61,,
09/06/2015,58,60,58,,
09/07/2015,65,65,66,,
09/08/2015,64,64,64,,
09/09/2015,60,59,61,,
09/10/2015,60,63,63,,
09/11/2015,55,61,56,,
09/12/2015,58,66,60,,
09/13/2015,53,52,55,,
09/14/2015,60,62,60,,
09/15/2015,63,61,60,,
09/16/2015,50,52,49,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Grand Total,1429,1475,1441,4345,
